Anno;Regione;parcheggio;mezzi pubblici;traffico;illuminazione stradale;manto stradale
2020;Piemonte;33.1;31.6;35.5;24;39.6
2020;Valle d'Aosta;25.2;27.1;24.3;12.5;26.3
2020;Liguria;50.3;27.8;38.1;29.4;46.9
2020;Lombardia;34.6;25.9;36.8;21.4;38.7
2020;Trentino Alto Adige;32.2;17.5;34.9;15.1;19.1
2020;Bolzano;33.2;15;38.9;16.6;20.2
2020;Trento;31.1;20;30.9;13.6;18
2020;Veneto;24.7;26;35;21.6;33.1
2020;Friuli-Venezia Giulia;22;24.5;29.6;17.5;31.2
2020;Emilia-Romagna;28.2;21.3;36.3;22.6;39.4
2020;Toscana;31.6;28.3;35.4;29.4;46.3
2020;Umbria;19.6;26.7;26.8;27.4;56.2
2020;Marche;22.4;29.1;30.3;24.6;42
2020;Lazio;41.9;32.8;44.6;37.4;65.4
2020;Abruzzo;26;26.7;28.3;28.4;43.2
2020;Molise;24.1;31.6;19.6;33.9;43.4
2020;Campania;47.9;51.8;47.9;40.8;58.6
2020;Puglia;42.2;30;45.3;28.4;53.1
2020;Basilicata;26.9;29.8;23.5;32.7;47.3
2020;Calabria;30.8;36.6;28.1;33.1;51.4
2020;Sicilia;39.6;34.7;43.6;33.9;46.9
2020;Sardegna;33.6;18.8;32.8;24.8;46.8
2021;Piemonte;31.9;27.9;37.5;23.2;44
2021;Valle d'Aosta;24.5;26.2;23.7;14.1;23.1
2021;Liguria;54;23.7;39.4;30.2;50.8
2021;Lombardia;35.6;27.3;37.4;22.9;42.7
2021;Trentino Alto Adige;32.8;20.6;27.4;15.6;26.1
2021;Bolzano;37.4;14.1;31.6;15.6;22.8
2021;Trento;28.4;26.9;23.3;15.7;29.4
2021;Veneto;22;25.4;33.4;21.2;38.4
2021;Friuli-Venezia Giulia;21.3;26.8;25.8;18.9;37.7
2021;Emilia-Romagna;26.2;21.1;33.5;22.8;37.3
2021;Toscana;31.9;30.4;33.5;28.5;46.8
2021;Umbria;23.2;32.2;23.4;29.5;56.8
2021;Marche;29.1;28.5;29.8;24.6;45.5
2021;Lazio;47.5;32.9;45.6;38.9;68
2021;Abruzzo;24.3;27.1;26.7;26.1;43.3
2021;Molise;22.8;26;17.6;26.8;37.6
2021;Campania;47.1;51.5;46.9;42.4;62.9
2021;Puglia;43.3;24.6;43.8;28.8;52.4
2021;Basilicata;30;34;24.2;32.9;49.1
2021;Calabria;27.6;39.8;25.9;32.2;51.1
2021;Sicilia;42.3;38.7;41.8;36.9;54.7
2021;Sardegna;33.1;25.6;32.3;26.3;49.3
